Problem:    Gusek
   142 y[P2,C23]    *              0             0             1 
   143 y[P3,C23]    *              0             0             1 
   144 y[P4,C23]    *              0             0             1 
   145 y[P1,C33]    *              0             0             1 
   146 y[P2,C33]    *              0             0             1 
   147 y[P3,C33]    *              0             0             1 
   148 y[P4,C33]    *              0             0             1 
   149 y[P1,C43]    *              0             0             1 
   150 y[P2,C43]    *              0             0             1 
   151 y[P3,C43]    *              0             0             1 
   152 y[P4,C43]    *              0             0             1 
   153 y[P1,C53]    *              0             0             1 
   154 y[P2,C53]    *              0             0             1 
   155 y[P3,C53]    *              0             0             1 
   156 y[P4,C53]    *              0             0             1 
   157 y[P1,C14]    *              0             0             1 
   158 y[P2,C14]    *              0             0             1 
   159 y[P3,C14]    *              0             0             1 
   160 y[P4,C14]    *              0             0             1 
   161 y[P1,C24]    *              0             0             1 
   162 y[P2,C24]    *              0             0             1 
   163 y[P3,C24]    *              0             0             1 
   164 y[P4,C24]    *              0             0             1 
   165 y[P1,C34]    *              0             0             1 
   166 y[P2,C34]    *              0             0             1 
   167 y[P3,C34]    *              0             0             1 
   168 y[P4,C34]    *              0             0             1 
   169 y[P1,C44]    *              0             0             1 
   170 y[P2,C44]    *              0             0             1 
   171 y[P3,C44]    *              0             0             1 
   172 y[P4,C44]    *              0             0             1 
   173 y[P1,C54]    *              0             0             1 
   174 y[P2,C54]    *              0             0             1 
   175 y[P3,C54]    *              0             0             1 
   176 y[P4,C54]    *              0             0             1 
   177 y[P1,CE1]    *              1             0             1 
   178 y[P2,CE1]    *              0             0             1 
   179 y[P3,CE1]    *              0             0             1 
   180 y[P4,CE1]    *              0             0             1 
   181 y[P1,CE2]    *              0             0             1 
   182 y[P2,CE2]    *              0             0             1 
   183 y[P3,CE2]    *              0             0             1 
   184 y[P4,CE2]    *              1             0             1 
   185 y[P1,CE3]    *              0             0             1 
   186 y[P2,CE3]    *              1             0             1 
   187 y[P3,CE3]    *              0             0             1 
   188 y[P4,CE3]    *              0             0             1 
   189 y[P1,CE4]    *              0             0             1 
   190 y[P2,CE4]    *              0             0             1 
   191 y[P3,CE4]    *              1             0             1 
   192 y[P4,CE4]    *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
